No;Kategori;Strateji;Açıklama;Öncelik;Zaman Dilimi;Tahmini Aylık Gelir Etkisi;Tahmini Maliyet;Zorluk;Durum
1;ÖZEL MARKA;Kendi markalı multivitamin üret;Türkiye'de GMP sertifikalı üreticilerle (Royvit/Anocin) anlaşıp "Dağdelen" markalı multivitamin üret. Maliyet %60-70 marj bırakır — aynı ürünü başkasının markasıyla satmak yerine kendinizin.;KRİTİK;1-3 ay;+200.000 TL;50.000-100.000 TL;Orta;Yapılacak
2;ÖZEL MARKA;Dağdelen markalı probiyotik serisi;Probiyotik Türkiye'de 2024-2025'te %119 büyüdü — en hızlı segment. Kendi markalı 3 farklı probiyotik (çocuk/yetişkin/kadın) üret.;KRİTİK;1-3 ay;+150.000 TL;40.000 TL;Orta;Yapılacak
3;ÖZEL MARKA;Kolajen & Güzellik serisi;Kolajen Türkiye'de en çok satan takviye kategorilerinden. Kadın hedef kitleye özel Dağdelen Kolajen markası — hem eczane hem online satılır.;KRİTİK;1-3 ay;+120.000 TL;35.000 TL;Orta;Yapılacak
4;ÖZEL MARKA;Kadın sağlığı özel ürün paketi;Demir + Folik Asit + D3 + Magnezyum kombine paket. Kadınlar en büyük sağlık ürünü alıcısı. Özel ambalaj + özel fiyat.;YÜKSEK;2-4 ay;+80.000 TL;20.000 TL;Orta;Yapılacak
5;ÖZEL MARKA;Çocuk vitamini özel serisi;Anne-bebek pazarı güçlü ve sadık. Tadı güzel şekerli çiğnenebilir çocuk vitamini — anneler düzenli tekrar satın alır.;YÜKSEK;2-4 ay;+90.000 TL;25.000 TL;Orta;Yapılacak
6;ÖZEL MARKA;Sporcu paketi (Pre/Post workout);Spor salonları Türkiye'de patlıyor. Sporcu segmentine özel Dağdelen Spor serisi — BCAA, kreatin, protein shake. Spor salonlarıyla satış anlaşması.;YÜKSEK;3-6 ay;+100.000 TL;45.000 TL;Orta;Yapılacak
7;ÖZEL MARKA;Yaşlı bakım vitamin paketi;65+ yaş hedef kitle — Kalsiyum D3 + B12 + Glukomin paketi. Eczane kanalı için mükemmel ürün. Çocuklar yaşlı ebeveynleri için alır.;YÜKSEK;3-6 ay;+70.000 TL;20.000 TL;Orta;Yapılacak
8;ÖZEL MARKA;Mevsimsel özel paket;Kış: C vitamini + Çinko + Ekinezya. Yaz: Güneş + Elektrolit. İlkbahar: Detoks. Her mevsim başı kampanyası ve hazır paket.;ORTA;3-6 ay;+60.000 TL;15.000 TL;Kolay;Yapılacak
9;ÖZEL MARKA;Türk bitkisel özlü ürün serisi;Ihlamur / Adaçayı / Zencefil / Zerdeçal özlü Türk geleneksel bitkisel takviye serisi. Hem yurt içi hem ihracat potansiyeli var.;ORTA;6-12 ay;+80.000 TL;30.000 TL;Orta;Yapılacak
10;ÖZEL MARKA;Kişiselleştirilmiş vitamin paketi servisi;"Sizin için hangi vitamin?" anketi → AI destekli analiz → özel kutu gönderimi. Premium fiyat segmenti. Kişiselleştirme = fiyat duyarsızlığı.;YÜKSEK;6-12 ay;+120.000 TL;30.000 TL;Zor;Yapılacak
